Hybridization REF	TCGA-06-0649-01B-01T-0341-07
Composite Element REF	unc_DWD_Batch_adjusted
hsa-miR-513	6.99731617547263
hsa-miR-514	5.76386085651567
hsa-miR-515-3p	5.83511418156088
hsa-miR-515-5p	5.73174715819205
hsa-miR-516-3p	5.86681079295448
hsa-miR-516-5p	5.94801473137394
hsa-miR-517*	5.78809018089512
hsa-miR-517a	5.83007726278116
hsa-miR-517b	5.86354680796749
hsa-miR-517c	5.81915331149825
hsa-miR-518a	5.76218042494557
hsa-miR-518b	5.77298793633168
hsa-miR-518c	5.75260762106587
hsa-miR-518c*	6.4716454453275
hsa-miR-518d	5.85053030049467
hsa-miR-518e	5.74152604158989
hsa-miR-518f	5.80902837924379
hsa-miR-518f*	6.24915198753973
hsa-miR-519a	5.79141580407359
hsa-miR-519b	5.80785226045396
hsa-miR-519c	5.75408648834801
hsa-miR-519d	5.79969829271425
hsa-miR-519e	5.95871541497558
hsa-miR-519e*	6.9125699219898
hsa-miR-520a	5.82225422963192
hsa-miR-520a*	5.81532688354278
hsa-miR-520b	6.17631041308662
hsa-miR-520c	5.82067309225389
hsa-miR-520d	5.86168179096369
hsa-miR-520d*	6.45192212617536
hsa-miR-520e	6.02659080336742
hsa-miR-520f	5.78168426254874
hsa-miR-520g	5.81739018496667
hsa-miR-520h	5.74360336768522
hsa-miR-521	5.83728039977004
hsa-miR-522	5.84031609473645
hsa-miR-523	5.98202249669726
hsa-miR-524	5.78447804767676
hsa-miR-524*	6.01030001150012
hsa-miR-525	5.94538736134965
hsa-miR-525*	5.7654529188729
hsa-miR-526a	6.27607596026022
hsa-miR-526b	6.12468844265544
hsa-miR-526b*	5.8340195527532
hsa-miR-526c	5.85784457971147
hsa-miR-527	6.65767104864747
hsa-miR-532	7.12830856971217
hsa-miR-539	5.76855836747921
hsa-miR-542-3p	6.14086720007626
hsa-miR-542-5p	6.34182059771121
hsa-miR-544	5.72542993985567
hsa-miR-545	5.88614307705803
hsa-miR-548a	5.7148917565646
hsa-miR-548b	5.76302006964519
hsa-miR-548c	5.77111762672802
hsa-miR-548d	5.73720462822953
hsa-miR-549	5.75694627523074
hsa-miR-550	6.36791423205387
hsa-miR-551a	5.74071467927028
hsa-miR-551b	8.13193104794713
hsa-miR-552	5.77843740542221
hsa-miR-553	5.73662312122824
hsa-miR-554	5.70393024402402
hsa-miR-555	5.70317285635705
hsa-miR-556	5.72242418015383
hsa-miR-557	7.23459127202764
hsa-miR-558	5.69167487037949
hsa-miR-559	5.75406613667777
hsa-miR-560	6.7611606877857
hsa-miR-561	5.71387072817289
hsa-miR-562	5.71528483436687
hsa-miR-563	5.76725292677626
hsa-miR-564	6.86092217895568
hsa-miR-565	8.42943239540044
hsa-miR-566	5.99083992006989
hsa-miR-567	5.85494318633308
hsa-miR-568	5.73412193418386
hsa-miR-569	5.72585780029069
hsa-miR-570	5.73658656858828
hsa-miR-571	5.86090770310848
hsa-miR-572	7.19919539092859
hsa-miR-573	5.70811362076872
hsa-miR-574	7.72031890713696
hsa-miR-575	8.50800099000371
hsa-miR-576	5.7139242578114
hsa-miR-577	5.76684133869336
hsa-miR-578	5.72282658100717
hsa-miR-579	5.73738651175166
hsa-miR-580	5.72413508202242
hsa-miR-581	5.71008420752093
hsa-miR-582	5.85409330861999
hsa-miR-583	6.09727677942738
hsa-miR-584	6.27814678376727
hsa-miR-585	5.80514284810369
hsa-miR-586	5.7547938127134
hsa-miR-587	5.71746858278824
hsa-miR-588	5.7243733640059
hsa-miR-589	5.75615700346112
hsa-miR-590	6.907092443511
hsa-miR-591	5.73321443394536
hsa-miR-592	6.17848146648451
hsa-miR-593	5.70336876457943
hsa-miR-595	6.02136354034307
hsa-miR-596	5.80986848624364
hsa-miR-597	5.76691645916189
hsa-miR-598	6.43151244456519
hsa-miR-599	5.7367926442233
hsa-miR-600	5.69548266061585
hsa-miR-601	8.00402048223316
hsa-miR-602	6.44855480202325
hsa-miR-603	5.72463353669918
hsa-miR-604	5.81613059806983
hsa-miR-605	6.5634564361783
hsa-miR-606	5.71295337179065
hsa-miR-607	5.71891121620824
hsa-miR-608	5.80974193920368
hsa-miR-609	5.76899625905583
hsa-miR-610	6.77458931098355
hsa-miR-611	5.96009761832098
hsa-miR-612	5.73816981215785
hsa-miR-613	5.77732206008547
hsa-miR-614	5.92431612827958
hsa-miR-615	6.02451992302082
hsa-miR-616	5.73212809163797
hsa-miR-617	5.99515991553261
hsa-miR-618	5.73221225302483
hsa-miR-619	5.73954543148887
hsa-miR-620	5.71714400013801
hsa-miR-621	5.69257895135395
hsa-miR-622	6.50461621679012
hsa-miR-623	6.48680552410997
hsa-miR-624	5.80088699606245
hsa-miR-625	6.35121328096763
hsa-miR-626	5.70071091557817
hsa-miR-627	6.0011524613467
hsa-miR-628	6.14992340460996
hsa-miR-629	6.58779578554957
hsa-miR-630	7.77085537759473
hsa-miR-631	6.19803011787102
hsa-miR-632	5.86497903976304
hsa-miR-633	5.72406295336061
hsa-miR-634	5.98323458370483
hsa-miR-635	5.79040104091866
hsa-miR-636	6.29823647762251
hsa-miR-637	5.82129486210921
hsa-miR-638	10.1411187788946
hsa-miR-639	5.79016093637251
hsa-miR-640	6.0032791870703
hsa-miR-641	5.81200551785849
hsa-miR-642	5.71228297924451
hsa-miR-643	5.71973151211866
hsa-miR-644	5.73439130630275
hsa-miR-645	5.85250999701316
hsa-miR-646	5.7739520509178
hsa-miR-647	5.755340613486
hsa-miR-648	6.17762094796506
hsa-miR-649	5.74188462973144
hsa-miR-650	7.29683149022776
hsa-miR-651	5.74083331205236
hsa-miR-652	8.13523566224527
hsa-miR-653	5.80416355206225
hsa-miR-654	6.00211440232078
hsa-miR-655	5.72142819423754
hsa-miR-656	5.7866698646525
hsa-miR-657	5.74653930584204
hsa-miR-658	5.8618609212722
hsa-miR-659	6.53334812426574
hsa-miR-660	7.19183683783453
hsa-miR-661	5.77452007883479
