Hybridization REF	TCGA-28-1747-01C-01T-0792-07
Composite Element REF	unc_DWD_Batch_adjusted
hsa-miR-671	7.64452690421929
hsa-miR-675	5.75106099827775
hsa-miR-7	7.4181913553553
hsa-miR-758	6.41622896065095
hsa-miR-765	6.99126375271224
hsa-miR-766	6.6127333623869
hsa-miR-767-3p	5.74217142902822
hsa-miR-767-5p	6.03613483412979
hsa-miR-768-3p	10.0732176369854
hsa-miR-768-5p	8.0089121295412
hsa-miR-769-3p	6.26452572520867
hsa-miR-769-5p	6.89816987832047
hsa-miR-770-5p	8.14146766758296
hsa-miR-801	9.19549936203779
hsa-miR-802	5.75058643839392
hsa-miR-9	12.3809464650917
hsa-miR-9*	14.2290691540114
hsa-miR-92	10.1586128845136
hsa-miR-92b	9.07945404109926
hsa-miR-93	9.19240417676136
hsa-miR-95	6.64505012857859
hsa-miR-96	5.85234659772727
hsa-miR-98	7.917177924183
hsa-miR-99a	10.7771938356279
hsa-miR-99b	7.77370011718635
hsv1-miR-H1	6.72485918916379
kshv-miR-K12-1	5.85680639456662
kshv-miR-K12-10a	6.05222149982423
kshv-miR-K12-10b	6.0993447968633
kshv-miR-K12-11	5.78833085604864
kshv-miR-K12-12	5.99467051008315
kshv-miR-K12-2	5.78286619374529
kshv-miR-K12-3	7.83938146663184
kshv-miR-K12-3*	5.72763756650463
kshv-miR-K12-4-3p	5.79113141655434
kshv-miR-K12-4-5p	5.82854630122883
kshv-miR-K12-5	5.76093195313771
kshv-miR-K12-6-3p	5.78447825472168
kshv-miR-K12-6-5p	5.76301496078764
kshv-miR-K12-7	6.07580454577027
kshv-miR-K12-8	5.98534293366857
kshv-miR-K12-9	5.70415137927585
kshv-miR-K12-9*	5.75849394162071
